Politician,State,Account 1,Account 2,Party,Position
"Baldwin, Tammy",Wisconsin,SenatorBaldwin,tammybaldwin,Democratic,Senator
"Barrasso, John",Wyoming,SenJohnBarrasso,barrassoforwyo,Republican,Senator
"Bennet, Michael",Colorado,SenatorBennet,MichaelBennet,Democratic,Senator
"Blackburn, Marsha",Tennessee,MarshaBlackburn,MarshaSays,Republican,Senator
"Blumenthal, Richard",Connecticut,SenBlumenthal,,Democratic,Senator
"Blunt, Roy",Missouri,RoyBlunt,RoyBluntMO,Republican,Senator
"Booker, Cory",New Jersey,CoryBooker,,Democratic,Senator
"Boozman, John",Arkansas,JohnBoozman,JohnBoozman4AR,Republican,Senator
"Braun, Mike",Indiana,braun4indiana,,Republican,Senator
"Brown, Sherrod",Ohio,SenSharrodBrown,SherrodBrown,Democratic,Senator
"Burr, Richard",North Carolina,SenatorBurr,,Republican,Senator
"Cantwell, Maria",Washington,SenatorCantwell,MariaCantwell,Democratic,Senator
"Capito, Shelley ",West Virginia,SenCapito,CapitoforWV,Republican,Senator
"Cardin, Benjamin ",Maryland,SenatorCardin,BenCardinforMD,Democratic,Senator
"Carper, Thomas",Delaware,SenatorCarper,TomCarperforDE,Democratic,Senator
"Casey, Robert, Jr.",Pennsylvania,SenBobCasey,Bob_Casey,Democratic,Senator
"Cassidy, Bill",Louisiana,BillCassidy,,Republican,Senator
"Collins, Susan",Maine,SenatorCollins,SenSusanCollins,Republican,Senator
"Coons, Christopher",Delaware,ChrisCoons,ChrisCoonsforDE,Democratic,Senator
"Cornyn, John",Texas,JohnCornyn,TeamCornyn,Republican,Senator
"Cortez Masto, Catherine",Nevada,SenCortezMasto,CatherineforNV,Democratic,Senator
"Cotton, Tom",Arkansas,SenTomCotton,TomCottonAR,Republican,Senator
"Cramer, Kevin",North Dakota,KevinCramer,SenKevinCramer,Republican,Senator
"Crapo, Mike",Idaho,MikeCrapo,crapoforsenate,Republican,Senator
"Cruz, Ted",Texas,SenTedCruz,tedcruz,Republican,Senator
"Daines, Steve",Montana,SteveDaines,,Republican,Senator
"Duckworth, Tammy",Illinois,SenDuckworth,TammyDuckworth,Democratic,Senator
"Durbin, Richard",Illinois,SenatorDurbin,DickDurbin,Democratic,Senator
"Ernst, Joni",Iowa,SenJoniErnst,joniernst,Republican,Senator
"Feinstein, Dianne",California,SenFeinstein,DianneFeinstein,Democratic,Senator
"Fischer, Deb",Nebraska,SenatorFischer,DebFischerNE,Republican,Senator
"Gillibrand, Kirsten",New York,SenGillibrand,gillibrandny,Democratic,Senator
"Graham, Lindsey",South Carolina,LindseyGrahamSC,,Republican,Senator
"Grassley, Chuck",Iowa,ChuckGrassley,GrassleyPress,Republican,Senator
"Hagerty, Bill",Tennessee,SenatorHagerty,BillHagertyTN,Republican,Senator
"Hassan, Margaret",New Hampshire,SenatorHassan,Maggie_Hassan,Democratic,Senator
"Hawley, Josh",Missouri,HawleyMO,,Republican,Senator
"Heinrich, Martin",New Mexico,MartinHeinrich,TeamHeinrich,Democratic,Senator
"Hickenlooper, John",Colorado,SenatorHick,Hickenlooper,Democratic,Senator
"Hirono, Mazie",Hawaii,maziehirono,,Democratic,Senator
"Hoeven, John",North Dakota,SenJohnHoeven,,Republican,Senator
"Hyde-Smith, Cindy",Mississippi,SenHydeSmith,cindyhydesmith,Republican,Senator
"Inhofe, James ",Oklahoma,JimInhofe,,Republican,Senator
"Johnson, Ron",Wisconsin,SenRonJohnson,RonJohnsonWI,Republican,Senator
"Kaine, Tim",Virginia,timkaine,,Democratic,Senator
"Kelly, Mark",Arizona,SenMarkKelly,CaptMarkKelly,Democratic,Senator
"Kennedy, John",Louisiana,SenJohnKennedy,,Republican,Senator
"King, Angus, Jr.",Maine,SenAngusKing,AngusforMaine,Independent,Senator
"Klobuchar, Amy",Minnesota,SenAmyKlobuchar,AmyKlobuchar,Democratic,Senator
"Lankford, James",Oklahoma,SenatorLankford,jameslankford,Republican,Senator
"Leahy, Patrick ",Vermont,SenatorLeahy,,Democratic,Senator
"Lee, Mike",Utah,SenMikeLee,,Republican,Senator
"Luján, Ben",New Mexico,SenatorLujan,benraylujan,Democratic,Senator
"Lummis, Cynthia ",Wyoming,SenLummis,CynthiaMLummis,Republican,Senator
"Manchin, Joe",West Virginia,Sen_JoeManchin,JoeManchinWV,Democratic,Senator
"Markey, Edward ",Massachusetts,SenMarkey,,Democratic,Senator
"Marshall, Roger",Kansas,RogerMarshallMD,,Republican,Senator
"McConnell, Mitch",Kentucky,LeaderMcConnell,,Republican,Senator
"Menendez, Robert",New Jersey,SenatorMenendez,,Democratic,Senator
"Merkley, Jeff",Oregon,SenJeffMerkley,JeffMerkley,Democratic,Senator
"Moran, Jerry",Kansas,JerryMoran,,Republican,Senator
"Murkowski, Lisa",Alaska,lisamurkowski,,Republican,Senator
"Murphy, Christopher",Connecticut,ChrisMurphyCT,,Democratic,Senator
"Murray, Patty",Washington,PattyMurray,MurrayCampaign,Democratic,Senator
"Ossoff, Jon",Georgia,ossoff,SenOssoff,Democratic,Senator
"Padilla, Alex",California,SenAlexPadilla,alexpadilla4ca,Democratic,Senator
"Paul, Rand",Kentucky,RandPaul,DrRandPaul,Republican,Senator
"Peters, Gary",Michigan,SenGaryPeters,,Democratic,Senator
"Portman, Rob",Ohio,senrobportman,robportman,Republican,Senator
"Reed, Jack",Rhode Island,SenJackReed,jackreed2020,Democratic,Senator
"Risch, James ",Idaho,SenatorRisch,Risch4Idaho,Republican,Senator
"Romney, Mitt",Utah,MittRomney,,Republican,Senator
"Rosen, Jacky",Nevada,SenJackyRosen,RosenforNevada,Democratic,Senator
"Rounds, Mike",South Dakota,SenatorRounds,RoundsforSenate,Republican,Senator
"Rubio, Marco",Florida,marcorubio,SenRubioPress,Republican,Senator
"Sanders, Bernie",Vermont,BernieSanders,SenSanders,Independent,Senator
"Sasse, Ben",Nebraska,SenSasse,BenSasse,Republican,Senator
"Schatz, Brian",Hawaii,brianschatz,SenBrianSchatz,Democratic,Senator
"Schumer, Chuck",New York,SenSchumer,chuckschumer,Democratic,Senator
"Scott, Rick",Florida,SenRickScott,ScottforFlorida,Republican,Senator
"Scott, Tim",South Carolina,SenatorTimScott,,Republican,Senator
"Shaheen, Jeanne",New Hampshire,SenatorShaheen,JeanneShaheen,Democratic,Senator
"Shelby, Richard ",Alabama,SenShelby,,Republican,Senator
"Sinema, Kyrsten",Arizona,SenatorSinema,kyrstensinema,Democratic,Senator
"Smith, Tina",Minnesota,SenTinaSmith,TinaSmithMN,Democratic,Senator
"Stabenow, Debbie",Michigan,SenStabenow,stabenow,Democratic,Senator
"Sullivan, Dan",Alaska,SenDanSullivan,,Republican,Senator
"Tester, Jon",Montana,SenatorTester,jontester,Democratic,Senator
"Thune, John",South Dakota,SenJohnThune,johnthune,Republican,Senator
"Tillis, Thom",North Carolina,SenThomTilis,ThomTillis,Republican,Senator
"Toomey, Patrick ",Pennsylvania,SenToomey,,Republican,Senator
"Tuberville, Tommy",Alabama,SenTuberville,TTuberville,Republican,Senator
"Van Hollen, Chris",Maryland,ChrisVanHollen,VanHollenforMD,Democratic,Senator
"Warner, Mark ",Virginia,MarkWarner,,Democratic,Senator
"Warnock, Raphael ",Georgia,SenatorWarnock,ReverendWarnock,Democratic,Senator
"Warren, Elizabeth",Massachusetts,SenWarren,ewarren,Democratic,Senator
"Whitehouse, Sheldon",Rhode Island,SenWhitehouse,SheldonforRI,Democratic,Senator
"Wicker, Roger ",Mississippi,SenatorWicker,RogerWicker,Republican,Senator
"Wyden, Ron",Oregon,RonWyden,WydenPress,Democratic,Senator
"Young, Todd",Indiana,SenToddYoung,ToddYoungIN,Republican,Senator
"Biden, Joe",Delaware,JoeBiden,POTUS,Democratic,President
"Harris, Kamala",California,KamalaHarris,VP,Democratic,Vice President
Mike Pence,Indiana,Mike_Pence,,Republican ,Former Vice President